Czas;CzasUTC;Przepływ WP;Tzas WP;Tpow WP;Energia;Tzewnetrzna;Tzas np.;Odchylka Tzas np - Twyl;% otw. Zaworu
01.10.2022 00:00;2022-09-30 22:00;       1.520;      67.000;            ;    4932.700;      12.700;      38.200;            ;      43.000
01.10.2022 01:00;2022-09-30 23:00;       1.520;      66.889;       3.444;    4932.910;      12.700;      39.000;       0.000;      43.000
01.10.2022 02:00;2022-10-01 00:00;       1.417;      66.778;       6.889;    4933.120;      12.500;      38.500;       0.000;      41.000
01.10.2022 03:00;2022-10-01 01:00;       1.641;      66.667;      10.333;    4933.340;      12.400;      39.200;       0.000;      44.000
01.10.2022 04:00;2022-10-01 02:00;       1.522;      66.556;      13.778;    4933.560;      11.900;      39.800;       0.000;      42.500
01.10.2022 05:00;2022-10-01 03:00;       1.403;      66.444;      17.222;    4933.780;      12.400;      38.900;       0.000;      41.000
01.10.2022 06:00;2022-10-01 04:00;       1.465;      66.333;      20.667;    4933.895;      12.300;      38.600;       0.000;      43.000
01.10.2022 07:00;2022-10-01 05:00;       1.526;      66.222;      24.111;    4934.010;      12.700;      39.100;       0.000;      40.000
01.10.2022 08:00;2022-10-01 06:00;       0.763;      66.111;      27.556;    4934.325;      14.000;      36.400;       0.000;      36.000
01.10.2022 09:00;2022-10-01 07:00;       0.000;      66.000;      31.000;    4934.640;      14.500;      31.500;      -0.008;       0.000
01.10.2022 10:00;2022-10-01 08:00;       0.113;      53.000;      28.000;    4934.780;      14.800;      29.200;      -0.017;       3.545
01.10.2022 11:00;2022-10-01 09:00;       0.225;      48.000;      26.000;    4934.780;      16.000;      26.800;      -0.025;       7.091
01.10.2022 12:00;2022-10-01 10:00;       0.338;      45.000;      25.000;    4934.780;      14.900;      25.100;      -0.033;      10.636
01.10.2022 13:00;2022-10-01 11:00;       0.451;      42.000;      24.500;    4934.780;      13.800;      24.100;      -0.042;      14.182
01.10.2022 14:00;2022-10-01 12:00;       0.563;      40.000;      24.000;    4934.780;      14.600;      23.500;      -0.050;      17.727
01.10.2022 15:00;2022-10-01 13:00;       0.676;      38.000;      23.000;    4934.780;      15.900;      22.800;      -0.058;      21.273
01.10.2022 16:00;2022-10-01 14:00;       0.788;      36.000;      22.500;    4934.780;      14.200;      22.400;      -0.067;      24.818
01.10.2022 17:00;2022-10-01 15:00;       0.901;      34.000;      22.000;    4934.780;      15.200;      22.000;      -0.075;      28.364
