Czas;CzasUTC;Przepływ WP;Tzas WP;Tpow WP;Energia;Tzewnetrzna;Tzas np.;Odchylka Tzas np - Twyl;% otw. Zaworu
01.10.2022 00:00;2022-09-30 22:00;       2.080;            ;      37.000;      56.721;      11.300;      41.700;            ;      35.000
01.10.2022 01:00;2022-09-30 23:00;       2.080;      67.000;      37.000;      56.986;      11.400;      41.200;            ;      35.000
01.10.2022 02:00;2022-10-01 00:00;       2.064;      67.000;      37.500;      57.246;      11.100;      41.000;            ;      35.000
01.10.2022 03:00;2022-10-01 01:00;       2.464;      67.000;      38.000;      57.496;      10.600;      42.900;            ;      38.000
01.10.2022 04:00;2022-10-01 02:00;       2.256;      67.000;      38.000;      57.764;      10.400;      42.200;            ;      36.000
01.10.2022 05:00;2022-10-01 03:00;       2.049;      67.000;      38.000;      58.032;      11.000;      42.300;            ;      35.000
01.10.2022 06:00;2022-10-01 04:00;       2.049;      67.000;      37.500;      58.291;      10.900;      41.300;            ;      38.000
01.10.2022 07:00;2022-10-01 05:00;       2.049;      67.000;      37.000;      58.549;      11.800;      40.700;       1.000;      35.000
01.10.2022 08:00;2022-10-01 06:00;       1.605;      64.667;      35.000;      58.792;      13.200;      38.100;       0.000;      31.000
01.10.2022 09:00;2022-10-01 07:00;       1.161;      62.333;      33.000;      59.035;      13.700;      31.700;       0.000;       0.000
01.10.2022 10:00;2022-10-01 08:00;       0.000;      60.000;      31.000;      59.208;      14.600;      16.000;      -2.300;       0.000
01.10.2022 11:00;2022-10-01 09:00;       0.746;      62.000;      26.000;      59.263;      17.300;      31.800;       0.000;      33.000
01.10.2022 12:00;2022-10-01 10:00;       1.435;      65.000;      29.000;      59.275;      15.100;      33.900;       0.025;      29.000
01.10.2022 13:00;2022-10-01 11:00;       1.577;      64.667;      32.000;      59.473;      13.900;      36.400;       0.050;      33.000
01.10.2022 14:00;2022-10-01 12:00;       1.289;      64.333;      31.000;      59.678;      15.200;      34.500;       1.000;      30.000
01.10.2022 15:00;2022-10-01 13:00;       0.283;      64.000;      30.000;      59.885;      17.300;      29.900;      -1.000;      23.000
01.10.2022 16:00;2022-10-01 14:00;       2.291;      66.000;      33.000;      60.005;      14.600;      36.500;       1.100;      39.000
01.10.2022 17:00;2022-10-01 15:00;       1.279;      65.000;      31.000;      60.194;      16.100;      31.900;      -1.000;      28.000
01.10.2022 18:00;2022-10-01 16:00;       1.944;      66.000;      33.000;      60.373;      14.100;      35.200;      -0.033;      35.000
01.10.2022 19:00;2022-10-01 17:00;       1.476;      67.000;      34.000;      60.589;      14.300;      35.200;      -0.100;      32.000
01.10.2022 20:00;2022-10-01 18:00;       2.077;      66.000;      35.000;      60.822;      10.300;      41.300;      -2.100;      55.000
01.10.2022 21:00;2022-10-01 19:00;       3.901;      66.500;      42.000;      61.043;       9.900;      43.900;       1.000;      44.000
01.10.2022 22:00;2022-10-01 20:00;       2.742;      67.000;      41.000;      61.463;      10.500;      39.500;      -2.000;      40.000
01.10.2022 23:00;2022-10-01 21:00;       4.684;      57.000;      41.500;      61.796;      10.300;      43.400;       1.000;      60.000
02.10.2022 00:00;2022-10-01 22:00;       4.307;      58.000;      42.000;      62.079;      11.500;      41.700;       0.000;      48.000
02.10.2022 01:00;2022-10-01 23:00;       3.016;      59.000;      39.000;      62.420;      10.800;      40.500;       1.000;      44.000
02.10.2022 02:00;2022-10-02 00:00;       3.284;      63.000;      40.000;      62.704;      12.000;      40.300;       0.000;      36.000
02.10.2022 03:00;2022-10-02 01:00;       2.245;      66.000;      38.000;      62.996;      10.600;      41.700;      -1.000;      41.000
02.10.2022 04:00;2022-10-02 02:00;       2.445;      66.000;      38.000;      63.297;      11.000;      42.300;      -0.000;      39.000
02.10.2022 05:00;2022-10-02 03:00;       2.644;      66.000;      38.000;      63.599;      10.500;      42.300;      -0.000;      42.000
02.10.2022 06:00;2022-10-02 04:00;       2.674;      66.000;      38.000;      63.901;      11.100;      41.500;       0.000;      38.000
02.10.2022 07:00;2022-10-02 05:00;       2.372;      66.000;      38.000;      64.201;      11.800;      40.400;       0.000;      36.000
02.10.2022 08:00;2022-10-02 06:00;       2.069;      66.000;      38.000;      64.502;      12.500;      39.100;       0.000;      35.000
02.10.2022 09:00;2022-10-02 07:00;       1.919;      65.667;      36.500;      64.755;      13.100;      37.800;       0.000;      35.000
02.10.2022 10:00;2022-10-02 08:00;       1.770;      65.333;      35.000;      65.009;      13.900;      36.400;       0.000;      28.000
02.10.2022 11:00;2022-10-02 09:00;       1.153;      65.000;      34.000;      65.222;      15.500;      33.500;       0.000;      31.000
02.10.2022 12:00;2022-10-02 10:00;       0.631;      64.000;      32.000;      65.397;      15.900;      32.500;       0.000;      27.000
02.10.2022 13:00;2022-10-02 11:00;       1.253;      63.500;      31.000;      65.523;      15.400;      33.200;       0.050;      33.000
02.10.2022 14:00;2022-10-02 12:00;       0.928;      63.000;      32.000;      65.643;      16.900;      30.700;       1.000;      39.000
02.10.2022 15:00;2022-10-02 13:00;       2.325;      65.000;      33.000;      65.791;      13.000;      35.300;      -0.100;       0.000
